"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
2023-09-24 04:55:00,190638,11.86,-0.015,-2556,-2859,,
2023-09-24 04:56:00,190639,11.91,-0.014,-2557,-2860,,
2023-09-24 04:57:00,190640,11.9,-0.014,-2557,-2860,,
2023-09-24 04:58:00,190641,11.62,-0.014,-2557,-2860,,
2023-09-24 04:59:00,190642,11.88,-0.015,-2557,-2860,,
2023-09-24 05:00:00,190643,11.89,-0.015,-2557,-2860,,
2023-09-24 05:01:00,190644,11.89,-0.015,-2558,-2861,,
2023-09-24 05:02:00,190645,11.64,-0.015,-2558,-2861,,
2023-09-24 05:03:00,190646,11.9,-0.014,-2558,-2861,,
2023-09-24 05:04:00,190647,11.9,-0.014,-2560,-2863,,
2023-09-24 05:05:00,190648,11.91,-0.015,-2559,-2863,,
2023-09-24 05:06:00,190649,11.38,-0.016,-2557,-2862,,
2023-09-24 05:07:00,190650,11.91,-0.016,-2558,-2862,,
2023-09-24 05:08:00,190651,11.9,-0.016,-2559,-2862,,
2023-09-24 05:09:00,190652,11.3,-0.017,-2558,-2862,,
2023-09-24 05:10:00,190653,11.76,-0.017,-2558,-2862,,
2023-09-24 05:11:00,190654,11.92,-0.016,-2558,-2862,,
2023-09-24 05:12:00,190655,11.91,-0.016,-2559,-2863,,
2023-09-24 05:13:00,190656,11.39,-0.016,-2559,-2862,,
2023-09-24 05:14:00,190657,11.91,-0.015,-2558,-2862,,
2023-09-24 05:15:00,190658,11.9,-0.015,-2558,-2862,,
2023-09-24 05:16:00,190659,11.64,-0.015,-2558,-2861,,
2023-09-24 05:17:00,190660,11.89,-0.015,-2558,-2861,,
2023-09-24 05:18:00,190661,11.89,-0.016,-2558,-2861,,
2023-09-24 05:19:00,190662,11.89,-0.016,-2557,-2860,,
2023-09-24 05:20:00,190663,11,-0.016,-2558,-2860,,
2023-09-24 05:21:00,190664,11.42,-0.016,-2557,-2860,,
2023-09-24 05:22:00,190665,11.76,-0.016,-2557,-2860,,
2023-09-24 05:23:00,190666,11.75,-0.015,-2557,-2860,,
2023-09-24 05:24:00,190667,11.65,-0.016,-2557,-2860,,
2023-09-24 05:25:00,190668,11.81,-0.016,-2557,-2859,,
2023-09-24 05:26:00,190669,11.89,-0.015,-2557,-2860,,
2023-09-24 05:27:00,190670,11.89,-0.015,-2558,-2860,,
2023-09-24 05:28:00,190671,11.91,-0.015,-2557,-2861,,
2023-09-24 05:29:00,190672,11.65,-0.014,-2556,-2860,,
2023-09-24 05:30:00,190673,11.91,-0.012,-2557,-2860,,
2023-09-24 05:31:00,190674,11.9,-0.011,-2557,-2860,,
2023-09-24 05:32:00,190675,11.7,-0.011,-2557,-2860,,
2023-09-24 05:33:00,190676,11.89,-0.01,-2557,-2860,,
2023-09-24 05:34:00,190677,11.89,-0.009,-2557,-2860,,
2023-09-24 05:35:00,190678,11.89,-0.008,-2557,-2860,,
2023-09-24 05:36:00,190679,11.65,-0.007,-2557,-2861,,
2023-09-24 05:37:00,190680,11.91,-0.007,-2558,-2862,,
2023-09-24 05:38:00,190681,11.9,-0.007,-2558,-2863,,
2023-09-24 05:39:00,190682,11.67,-0.005,-2558,-2863,,
2023-09-24 05:40:00,190683,11.89,-0.004,-2558,-2863,,
2023-09-24 05:41:00,190684,11.91,-0.004,-2557,-2862,,
2023-09-24 05:42:00,190685,11.91,-0.004,-2557,-2861,,
2023-09-24 05:43:00,190686,11.63,-0.004,-2557,-2861,,
2023-09-24 05:44:00,190687,11.89,-0.004,-2557,-2861,,
2023-09-24 05:45:00,190688,11.9,-0.004,-2557,-2861,,
2023-09-24 05:46:00,190689,11.38,-0.004,-2557,-2861,,
2023-09-24 05:47:00,190690,10.46,-0.005,-2556,-2860,,
2023-09-24 05:48:00,190691,10.65,-0.005,-2558,-2861,,
2023-09-24 05:49:00,190692,11.89,-0.005,-2557,-2861,,
2023-09-24 05:50:00,190693,11.89,-0.006,-2557,-2861,,
2023-09-24 05:51:00,190694,11.89,-0.006,-2557,-2861,,
2023-09-24 05:52:00,190695,11.53,-0.006,-2557,-2860,,
2023-09-24 05:53:00,190696,11.28,-0.006,-2556,-2859,,
2023-09-24 05:54:00,190697,11.87,-0.006,-2556,-2860,,
2023-09-24 05:55:00,190698,11.89,-0.006,-2558,-2861,,
2023-09-24 05:56:00,190699,11.89,-0.007,-2558,-2862,,
2023-09-24 05:57:00,190700,11.64,-0.007,-2558,-2862,,
2023-09-24 05:58:00,190701,11.75,-0.007,-2558,-2862,,
2023-09-24 05:59:00,190702,11.9,-0.008,-2557,-2862,,
2023-09-24 06:00:00,190703,11.89,-0.008,-2556,-2861,,
2023-09-24 06:01:00,190704,11.67,-0.008,-2556,-2860,,
2023-09-24 06:02:00,190705,11.89,-0.007,-2556,-2860,,
2023-09-24 06:03:00,190706,11.9,-0.007,-2556,-2859,,
2023-09-24 06:04:00,190707,11.65,-0.006,-2556,-2859,,
2023-09-24 06:05:00,190708,11.9,-0.006,-2557,-2860,,
2023-09-24 06:06:00,190709,11.9,-0.006,-2557,-2860,,
2023-09-24 06:07:00,190710,11.89,-0.006,-2558,-2862,,
2023-09-24 06:08:00,190711,11.45,-0.006,-2557,-2862,,
2023-09-24 06:09:00,190712,11.28,-0.006,-2557,-2861,,
2023-09-24 06:10:00,190713,11.9,-0.006,-2557,-2861,,
2023-09-24 06:11:00,190714,11.91,-0.006,-2557,-2860,,
2023-09-24 06:12:00,190715,11.89,-0.006,-2557,-2861,,
2023-09-24 06:13:00,190716,11.7,-0.006,-2557,-2861,,
2023-09-24 06:14:00,190717,11.9,-0.006,-2557,-2862,,
2023-09-24 06:15:00,190718,11.9,-0.005,-2557,-2862,,
2023-09-24 06:16:00,190719,11.91,-0.004,-2557,-2861,,
2023-09-24 06:17:00,190720,11,-0.004,-2557,-2862,,
2023-09-24 06:18:00,190721,11.51,-0.003,-2557,-2861,,
2023-09-24 06:19:00,190722,11.89,-0.003,-2558,-2862,,
2023-09-24 06:20:00,190723,11.89,-0.002,-2557,-2862,,
2023-09-24 06:21:00,190724,11.89,-0.002,-2557,-2861,,
2023-09-24 06:22:00,190725,11.68,-0.001,-2556,-2860,,
