"TOA5","CR1000","CR1000","70405","CR1000.Std.27.04","CPU:Piranometro-UVA-UVB-WS400WS200 CR1000.CR1","45947","Instrum"
"TIMESTAMP","RECORD","BattV","Piranom","UVA","UVB"
"TS","RN","Volts","mV","mV","mV"
"","","Avg","Avg","Avg","Avg"
"2023-09-21 07:10:00",186453,11.7,0.05,-2559,-2865
"2023-09-21 07:11:00",186454,11.73,0.056,-2559,-2865
"2023-09-21 07:12:00",186455,11.74,0.063,-2559,-2865
"2023-09-21 07:13:00",186456,11.72,0.07,-2559,-2865
"2023-09-21 07:14:00",186457,11.69,0.077,-2559,-2865
"2023-09-21 07:15:00",186458,11.9,0.083,-2558,-2864
"2023-09-21 07:16:00",186459,11.9,0.09,-2558,-2863
"2023-09-21 07:17:00",186460,11.9,0.099,-2558,-2863
"2023-09-21 07:18:00",186461,11.67,0.111,-2557,-2863
"2023-09-21 07:19:00",186462,11.9,0.123,-2557,-2863
"2023-09-21 07:20:00",186463,11.89,0.138,-2556,-2864
"2023-09-21 07:21:00",186464,11.65,0.154,-2555,-2863
"2023-09-21 07:22:00",186465,11.89,0.167,-2554,-2863
"2023-09-21 07:23:00",186466,11.9,0.183,-2554,-2864
"2023-09-21 07:24:00",186467,11.84,0.201,-2554,-2864
"2023-09-21 07:25:00",186468,11.71,0.226,-2552,-2863
"2023-09-21 07:26:00",186469,11.9,0.244,-2551,-2863
"2023-09-21 07:27:00",186470,11.89,0.26,-2551,-2862
"2023-09-21 07:28:00",186471,11.64,0.273,-2550,-2863
"2023-09-21 07:29:00",186472,11.89,0.277,-2550,-2863
"2023-09-21 07:30:00",186473,11.9,0.305,-2549,-2863
"2023-09-21 07:31:00",186474,11.82,0.339,-2547,-2863
"2023-09-21 07:32:00",186475,11.6,0.364,-2545,-2862
"2023-09-21 07:33:00",186476,11.9,0.385,-2544,-2861
"2023-09-21 07:34:00",186477,11.89,0.407,-2544,-2861
"2023-09-21 07:35:00",186478,11.52,0.425,-2543,-2862
"2023-09-21 07:36:00",186479,11.26,0.442,-2543,-2863
"2023-09-21 07:37:00",186480,11.75,0.463,-2543,-2862
"2023-09-21 07:38:00",186481,11.88,0.481,-2541,-2862
"2023-09-21 07:39:00",186482,11.89,0.501,-2540,-2862
"2023-09-21 07:40:00",186483,11.63,0.518,-2539,-2862
"2023-09-21 07:41:00",186484,11.69,0.539,-2538,-2862
"2023-09-21 07:42:00",186485,11.9,0.56,-2538,-2861
"2023-09-21 07:43:00",186486,11.9,0.581,-2536,-2861
"2023-09-21 07:44:00",186487,11.82,0.606,-2536,-2861
"2023-09-21 07:45:00",186488,11.91,0.63,-2536,-2861
"2023-09-21 07:46:00",186489,11.89,0.655,-2536,-2862
"2023-09-21 07:47:00",186490,11.17,0.678,-2534,-2861
"2023-09-21 07:48:00",186491,10.33,0.704,-2532,-2861
"2023-09-21 07:49:00",186492,10.4,0.73,-2530,-2860
"2023-09-21 07:50:00",186493,11.49,0.753,-2529,-2860
"2023-09-21 07:51:00",186494,11.9,0.779,-2528,-2859
"2023-09-21 07:52:00",186495,11.9,0.806,-2527,-2858
"2023-09-21 07:53:00",186496,11.68,0.834,-2526,-2858
"2023-09-21 07:54:00",186497,11.69,0.862,-2526,-2859
"2023-09-21 07:55:00",186498,11.91,0.89,-2525,-2860
"2023-09-21 07:56:00",186499,11.9,0.918,-2524,-2860
"2023-09-21 07:57:00",186500,11.86,0.946,-2522,-2859
"2023-09-21 07:58:00",186501,11.61,0.973,-2521,-2858
