id_historial,grd_id,tipo_registro,timestamp,direccion,valor,tipo_historico,tiempo_insercion
66793932,8,11,2021-09-09 04:10:00,4,46,1,2021-09-09 04:10:00
66793933,8,11,2021-09-09 04:10:00,5,2143,1,2021-09-09 04:10:00
66793934,8,11,2021-09-09 04:10:00,6,188,1,2021-09-09 04:10:00
66793935,8,11,2021-09-09 04:10:00,7,0,1,2021-09-09 04:10:00
66793936,8,11,2021-09-09 04:10:00,8,0,1,2021-09-09 04:10:00
66793937,8,11,2021-09-09 04:20:00,1,95,1,2021-09-09 04:20:01
66793938,8,11,2021-09-09 04:20:00,2,9792,1,2021-09-09 04:20:01
66793939,8,11,2021-09-09 04:20:00,3,712,1,2021-09-09 04:20:01
66793940,8,11,2021-09-09 04:20:00,4,45,1,2021-09-09 04:20:01
66793941,8,11,2021-09-09 04:20:00,5,2008,1,2021-09-09 04:20:01
66793942,8,11,2021-09-09 04:20:00,6,223,1,2021-09-09 04:20:01
66793943,8,11,2021-09-09 04:20:00,7,0,1,2021-09-09 04:20:01
66793944,8,11,2021-09-09 04:20:00,8,0,1,2021-09-09 04:20:01
66793945,8,11,2021-09-09 04:30:00,1,93,1,2021-09-09 04:30:01
66793946,8,11,2021-09-09 04:30:00,2,9791,1,2021-09-09 04:30:01
66793947,8,11,2021-09-09 04:30:00,3,719,1,2021-09-09 04:30:01
66793948,8,11,2021-09-09 04:30:00,4,45,1,2021-09-09 04:30:01
66793949,8,11,2021-09-09 04:30:00,5,1934,1,2021-09-09 04:30:01
66793950,8,11,2021-09-09 04:30:00,6,292,1,2021-09-09 04:30:01
66793951,8,11,2021-09-09 04:30:00,7,0,1,2021-09-09 04:30:01
66793952,8,11,2021-09-09 04:30:00,8,0,1,2021-09-09 04:30:01
66793953,8,11,2021-09-09 04:40:00,1,94,1,2021-09-09 04:40:00
66793954,8,11,2021-09-09 04:40:00,2,9791,1,2021-09-09 04:40:00
66793955,8,11,2021-09-09 04:40:00,3,718,1,2021-09-09 04:40:00
66793956,8,11,2021-09-09 04:40:00,4,46,1,2021-09-09 04:40:00
66793957,8,11,2021-09-09 04:40:00,5,1916,1,2021-09-09 04:40:00
66793958,8,11,2021-09-09 04:40:00,6,488,1,2021-09-09 04:40:00
66793959,8,11,2021-09-09 04:40:00,7,0,1,2021-09-09 04:40:00
66793960,8,11,2021-09-09 04:40:00,8,0,1,2021-09-09 04:40:00
66793961,8,11,2021-09-09 04:50:00,1,93,1,2021-09-09 04:50:00
66793962,8,11,2021-09-09 04:50:00,2,9790,1,2021-09-09 04:50:00
66793963,8,11,2021-09-09 04:50:00,3,723,1,2021-09-09 04:50:00
66793964,8,11,2021-09-09 04:50:00,4,45,1,2021-09-09 04:50:00
66793965,8,11,2021-09-09 04:50:00,5,1992,1,2021-09-09 04:50:00
66793966,8,11,2021-09-09 04:50:00,6,133,1,2021-09-09 04:50:00
66793967,8,11,2021-09-09 04:50:00,7,0,1,2021-09-09 04:50:00
66793968,8,11,2021-09-09 04:50:00,8,0,1,2021-09-09 04:50:00
66793969,8,11,2021-09-09 05:00:00,1,91,1,2021-09-09 05:00:00
66793970,8,11,2021-09-09 05:00:00,2,9792,1,2021-09-09 05:00:00
66793971,8,11,2021-09-09 05:00:00,3,728,1,2021-09-09 05:00:00
66793972,8,11,2021-09-09 05:00:00,4,45,1,2021-09-09 05:00:00
66793973,8,11,2021-09-09 05:00:00,5,1898,1,2021-09-09 05:00:00
66793974,8,11,2021-09-09 05:00:00,6,173,1,2021-09-09 05:00:00
66793975,8,11,2021-09-09 05:00:00,7,0,1,2021-09-09 05:00:00
66793976,8,11,2021-09-09 05:00:00,8,0,1,2021-09-09 05:00:00
66793977,8,11,2021-09-09 05:10:00,1,91,1,2021-09-09 05:10:00
66793978,8,11,2021-09-09 05:10:00,2,9793,1,2021-09-09 05:10:00
66793979,8,11,2021-09-09 05:10:00,3,727,1,2021-09-09 05:10:00
66793980,8,11,2021-09-09 05:10:00,4,45,1,2021-09-09 05:10:00
66793981,8,11,2021-09-09 05:10:00,5,1816,1,2021-09-09 05:10:00
66793982,8,11,2021-09-09 05:10:00,6,171,1,2021-09-09 05:10:00
66793983,8,11,2021-09-09 05:10:00,7,0,1,2021-09-09 05:10:00
66793984,8,11,2021-09-09 05:10:00,8,0,1,2021-09-09 05:10:00
66793985,8,11,2021-09-09 05:20:00,1,90,1,2021-09-09 05:20:00
66793986,8,11,2021-09-09 05:20:00,2,9796,1,2021-09-09 05:20:00
66793987,8,11,2021-09-09 05:20:00,3,731,1,2021-09-09 05:20:00
66793988,8,11,2021-09-09 05:20:00,4,45,1,2021-09-09 05:20:00
66793989,8,11,2021-09-09 05:20:00,5,1729,1,2021-09-09 05:20:00
66793990,8,11,2021-09-09 05:20:00,6,297,1,2021-09-09 05:20:00
66793991,8,11,2021-09-09 05:20:00,7,0,1,2021-09-09 05:20:00
66793992,8,11,2021-09-09 05:20:00,8,0,1,2021-09-09 05:20:00
66793993,8,11,2021-09-09 05:30:00,1,88,1,2021-09-09 05:30:00
66793994,8,11,2021-09-09 05:30:00,2,9797,1,2021-09-09 05:30:00
66793995,8,11,2021-09-09 05:30:00,3,742,1,2021-09-09 05:30:00
66793996,8,11,2021-09-09 05:30:00,4,44,1,2021-09-09 05:30:00
66793997,8,11,2021-09-09 05:30:00,5,1839,1,2021-09-09 05:30:00
66793998,8,11,2021-09-09 05:30:00,6,178,1,2021-09-09 05:30:00
66793999,8,11,2021-09-09 05:30:00,7,0,1,2021-09-09 05:30:00
66794000,8,11,2021-09-09 05:30:00,8,0,1,2021-09-09 05:30:00
66794001,8,11,2021-09-09 05:40:00,1,88,1,2021-09-09 05:40:00
66794002,8,11,2021-09-09 05:40:00,2,9799,1,2021-09-09 05:40:00
66794003,8,11,2021-09-09 05:40:00,3,744,1,2021-09-09 05:40:00
66794004,8,11,2021-09-09 05:40:00,4,45,1,2021-09-09 05:40:00
66794005,8,11,2021-09-09 05:40:00,5,2063,1,2021-09-09 05:40:00
66794006,8,11,2021-09-09 05:40:00,6,227,1,2021-09-09 05:40:00
66794007,8,11,2021-09-09 05:40:00,7,0,1,2021-09-09 05:40:00
66794008,8,11,2021-09-09 05:40:00,8,0,1,2021-09-09 05:40:00
66794009,8,11,2021-09-09 05:50:00,1,89,1,2021-09-09 05:50:00
66794010,8,11,2021-09-09 05:50:00,2,9799,1,2021-09-09 05:50:00
66794011,8,11,2021-09-09 05:50:00,3,736,1,2021-09-09 05:50:00
66794012,8,11,2021-09-09 05:50:00,4,44,1,2021-09-09 05:50:00
66794013,8,11,2021-09-09 05:50:00,5,1905,1,2021-09-09 05:50:00
66794014,8,11,2021-09-09 05:50:00,6,217,1,2021-09-09 05:50:01
66794015,8,11,2021-09-09 05:50:00,7,0,1,2021-09-09 05:50:01
66794016,8,11,2021-09-09 05:50:00,8,0,1,2021-09-09 05:50:01
66794017,8,11,2021-09-09 06:00:00,1,89,1,2021-09-09 06:00:01
66794018,8,11,2021-09-09 06:00:00,2,9799,1,2021-09-09 06:00:01
66794019,8,11,2021-09-09 06:00:00,3,734,1,2021-09-09 06:00:01
66794020,8,11,2021-09-09 06:00:00,4,44,1,2021-09-09 06:00:01
66794021,8,11,2021-09-09 06:00:00,5,1837,1,2021-09-09 06:00:01
66794022,8,11,2021-09-09 06:00:00,6,394,1,2021-09-09 06:00:01
66794023,8,11,2021-09-09 06:00:00,7,0,1,2021-09-09 06:00:01
66794024,8,11,2021-09-09 06:00:00,8,0,1,2021-09-09 06:00:01
66794025,8,11,2021-09-09 06:10:00,1,89,1,2021-09-09 06:10:01
66794026,8,11,2021-09-09 06:10:00,2,9799,1,2021-09-09 06:10:01
66794027,8,11,2021-09-09 06:10:00,3,731,1,2021-09-09 06:10:01
66794028,8,11,2021-09-09 06:10:00,4,43,1,2021-09-09 06:10:01
66794029,8,11,2021-09-09 06:10:00,5,1908,1,2021-09-09 06:10:01
66794030,8,11,2021-09-09 06:10:00,6,383,1,2021-09-09 06:10:01
66794031,8,11,2021-09-09 06:10:00,7,0,1,2021-09-09 06:10:01
66794032,8,11,2021-09-09 06:10:00,8,0,1,2021-09-09 06:10:01
66794033,8,11,2021-09-09 06:20:00,1,88,1,2021-09-09 06:20:00
66794034,8,11,2021-09-09 06:20:00,2,9800,1,2021-09-09 06:20:00
66794035,8,11,2021-09-09 06:20:00,3,734,1,2021-09-09 06:20:00
66794036,8,11,2021-09-09 06:20:00,4,43,1,2021-09-09 06:20:00
66794037,8,11,2021-09-09 06:20:00,5,1698,1,2021-09-09 06:20:00
